Geração : 0	Fitness : -336.75	Fitness Melhor : 0	
Geração : 1	Fitness : -638.69	Fitness Melhor : 400	
Geração : 2	Fitness : -478.81	Fitness Melhor : 400	
Geração : 3	Fitness : -421.77	Fitness Melhor : 400	
Geração : 4	Fitness : -410.93	Fitness Melhor : 400	
Geração : 5	Fitness : -612.32	Fitness Melhor : 400	
Geração : 6	Fitness : -434.09	Fitness Melhor : 400	
Geração : 7	Fitness : -522.87	Fitness Melhor : 400	
Geração : 8	Fitness : -643.24	Fitness Melhor : 400	
Geração : 9	Fitness : -460.57	Fitness Melhor : 400	
Geração : 10	Fitness : -598.2	Fitness Melhor : 400	
Geração : 11	Fitness : -507.18	Fitness Melhor : 400	
Geração : 12	Fitness : -504.09	Fitness Melhor : 400	
Geração : 13	Fitness : -623.08	Fitness Melhor : 400	
Geração : 14	Fitness : -483.93	Fitness Melhor : 400	
Geração : 15	Fitness : -407.01	Fitness Melhor : 400	
Geração : 16	Fitness : -527.7	Fitness Melhor : 400	
Geração : 17	Fitness : -549.16	Fitness Melhor : 400	
Geração : 18	Fitness : -358.47	Fitness Melhor : 400	
Geração : 19	Fitness : -540.61	Fitness Melhor : 400	
Geração : 20	Fitness : -547.52	Fitness Melhor : 400	
Geração : 21	Fitness : -422.77	Fitness Melhor : 400	
Geração : 22	Fitness : -350.1	Fitness Melhor : 400	
Geração : 23	Fitness : -608.83	Fitness Melhor : 400	
Geração : 24	Fitness : -485.06	Fitness Melhor : 400	
Geração : 25	Fitness : -325.56	Fitness Melhor : 400	
Geração : 26	Fitness : -386.69	Fitness Melhor : 400	
Geração : 27	Fitness : -690.66	Fitness Melhor : 400	
Geração : 28	Fitness : -481.53	Fitness Melhor : 400	
Geração : 29	Fitness : -436.6	Fitness Melhor : 600	
Geração : 30	Fitness : -250.92	Fitness Melhor : 600	
Geração : 31	Fitness : -261.39	Fitness Melhor : 600	
Geração : 32	Fitness : -367.38	Fitness Melhor : 600	
Geração : 33	Fitness : -322.05	Fitness Melhor : 600	
Geração : 34	Fitness : -260.21	Fitness Melhor : 600	
Geração : 35	Fitness : -390.96	Fitness Melhor : 600	
Geração : 36	Fitness : -289.96	Fitness Melhor : 600	
Geração : 37	Fitness : -365.86	Fitness Melhor : 800	
Geração : 38	Fitness : -384.64	Fitness Melhor : 800	
Geração : 39	Fitness : -304.55	Fitness Melhor : 800	
Geração : 40	Fitness : -269.72	Fitness Melhor : 800	
Geração : 41	Fitness : -211.98	Fitness Melhor : 800	
Geração : 42	Fitness : -343.63	Fitness Melhor : 800	
Geração : 43	Fitness : -388.97	Fitness Melhor : 800	
Geração : 44	Fitness : -352.04	Fitness Melhor : 800	
Geração : 45	Fitness : -412.94	Fitness Melhor : 800	
Geração : 46	Fitness : -261.1	Fitness Melhor : 800	
Geração : 47	Fitness : -601.7	Fitness Melhor : 800	
Geração : 48	Fitness : -399.6	Fitness Melhor : 800	
Geração : 49	Fitness : -419.06	Fitness Melhor : 800	
Geração : 50	Fitness : -335.47	Fitness Melhor : 800	
Geração : 51	Fitness : -303.94	Fitness Melhor : 800	
Geração : 52	Fitness : -563.3	Fitness Melhor : 800	
Geração : 53	Fitness : -334.53	Fitness Melhor : 800	
Geração : 54	Fitness : -257.92	Fitness Melhor : 800	
Geração : 55	Fitness : -292.11	Fitness Melhor : 800	
Geração : 56	Fitness : -310.35	Fitness Melhor : 800	
Geração : 57	Fitness : -258.87	Fitness Melhor : 800	
Geração : 58	Fitness : -430.94	Fitness Melhor : 800	
Geração : 59	Fitness : -141.12	Fitness Melhor : 800	
Geração : 60	Fitness : -286.13	Fitness Melhor : 800	
Geração : 61	Fitness : -512.76	Fitness Melhor : 800	
Geração : 62	Fitness : -534.92	Fitness Melhor : 800	
Geração : 63	Fitness : -350.11	Fitness Melhor : 800	
Geração : 64	Fitness : -301.07	Fitness Melhor : 800	
Geração : 65	Fitness : -269.43	Fitness Melhor : 800	
Geração : 66	Fitness : -265.47	Fitness Melhor : 800	
Geração : 67	Fitness : -404.94	Fitness Melhor : 800	
Geração : 68	Fitness : -516.25	Fitness Melhor : 800	
Geração : 69	Fitness : -351.73	Fitness Melhor : 800	
Geração : 70	Fitness : -249.7	Fitness Melhor : 800	
Geração : 71	Fitness : -426.1	Fitness Melhor : 800	
Geração : 72	Fitness : -436.37	Fitness Melhor : 800	
Geração : 73	Fitness : -285.66	Fitness Melhor : 800	
Geração : 74	Fitness : -304.96	Fitness Melhor : 800	
Geração : 75	Fitness : -412.35	Fitness Melhor : 800	
Geração : 76	Fitness : -287.54	Fitness Melhor : 800	
Geração : 77	Fitness : -307.45	Fitness Melhor : 800	
Geração : 78	Fitness : -235.83	Fitness Melhor : 1000	
Geração : 79	Fitness : -135.65	Fitness Melhor : 1000	
Geração : 80	Fitness : -238.51	Fitness Melhor : 1000	
Geração : 81	Fitness : -236.51	Fitness Melhor : 1000	
Geração : 82	Fitness : -328.52	Fitness Melhor : 1000	
Geração : 83	Fitness : -231.5	Fitness Melhor : 1000	
Geração : 84	Fitness : -226.53	Fitness Melhor : 1000	
Geração : 85	Fitness : -244.43	Fitness Melhor : 1000	
Geração : 86	Fitness : -223.05	Fitness Melhor : 1000	
Geração : 87	Fitness : -153.45	Fitness Melhor : 1000	
Geração : 88	Fitness : -234.7	Fitness Melhor : 1000	
Geração : 89	Fitness : -296.05	Fitness Melhor : 1000	
Geração : 90	Fitness : -303.07	Fitness Melhor : 1000	
Geração : 91	Fitness : -150.29	Fitness Melhor : 1000	
Geração : 92	Fitness : -341.78	Fitness Melhor : 1000	
Geração : 93	Fitness : -273.29	Fitness Melhor : 1000	
Geração : 94	Fitness : -152.02	Fitness Melhor : 1000	
Geração : 95	Fitness : -260.47	Fitness Melhor : 1000	
Geração : 96	Fitness : -376.12	Fitness Melhor : 1000	
