Geração : 0	Fitness : -327.94	Fitness Melhor : -1199	
Geração : 1	Fitness : -524.88	Fitness Melhor : -201	
Geração : 2	Fitness : -582.03	Fitness Melhor : -200	
Geração : 3	Fitness : -540.46	Fitness Melhor : -1	
Geração : 4	Fitness : -499.9	Fitness Melhor : 0	
Geração : 5	Fitness : -599.85	Fitness Melhor : 2	
Geração : 6	Fitness : -636.18	Fitness Melhor : 400	
Geração : 7	Fitness : -566.86	Fitness Melhor : 400	
Geração : 8	Fitness : -602.82	Fitness Melhor : 400	
Geração : 9	Fitness : -630.58	Fitness Melhor : 400	
Geração : 10	Fitness : -550.46	Fitness Melhor : 400	
Geração : 11	Fitness : -348.68	Fitness Melhor : 800	
Geração : 12	Fitness : -312.65	Fitness Melhor : 1000	
Geração : 13	Fitness : -394.36	Fitness Melhor : 1000	
Geração : 14	Fitness : -475.7	Fitness Melhor : 1000	
Geração : 15	Fitness : -464.39	Fitness Melhor : 1000	
Geração : 16	Fitness : -238.85	Fitness Melhor : 1000	
Geração : 17	Fitness : -287.12	Fitness Melhor : 1000	
Geração : 18	Fitness : -264.63	Fitness Melhor : 1000	
Geração : 19	Fitness : -326.06	Fitness Melhor : 1000	
Geração : 20	Fitness : -403.86	Fitness Melhor : 1000	
Geração : 21	Fitness : -593.13	Fitness Melhor : 1000	
Geração : 22	Fitness : -461.3	Fitness Melhor : 1000	
Geração : 23	Fitness : -233.11	Fitness Melhor : 1000	
Geração : 24	Fitness : -348.77	Fitness Melhor : 1000	
Geração : 25	Fitness : -165.81	Fitness Melhor : 1000	
Geração : 26	Fitness : -425.45	Fitness Melhor : 1000	
Geração : 27	Fitness : -354.76	Fitness Melhor : 1000	
Geração : 28	Fitness : -337.74	Fitness Melhor : 1000	
Geração : 29	Fitness : -362.41	Fitness Melhor : 1000	
Geração : 30	Fitness : -385.82	Fitness Melhor : 1000	
Geração : 31	Fitness : -283.85	Fitness Melhor : 1000	
Geração : 32	Fitness : -473.96	Fitness Melhor : 1000	
Geração : 33	Fitness : -447.28	Fitness Melhor : 1000	
Geração : 34	Fitness : -594.18	Fitness Melhor : 1000	
Geração : 35	Fitness : -382.84	Fitness Melhor : 1000	
Geração : 36	Fitness : -419.57	Fitness Melhor : 1000	
Geração : 37	Fitness : -385.4	Fitness Melhor : 1000	
Geração : 38	Fitness : -312.19	Fitness Melhor : 1000	
Geração : 39	Fitness : -326.0	Fitness Melhor : 1000	
Geração : 40	Fitness : -382.29	Fitness Melhor : 1000	
Geração : 41	Fitness : -338.03	Fitness Melhor : 1000	
Geração : 42	Fitness : -368.42	Fitness Melhor : 1000	
Geração : 43	Fitness : -343.24	Fitness Melhor : 1000	
Geração : 44	Fitness : -309.62	Fitness Melhor : 1000	
Geração : 45	Fitness : -545.31	Fitness Melhor : 1000	
Geração : 46	Fitness : -203.92	Fitness Melhor : 1000	
Geração : 47	Fitness : -199.74	Fitness Melhor : 1000	
Geração : 48	Fitness : -357.82	Fitness Melhor : 1000	
Geração : 49	Fitness : -410.29	Fitness Melhor : 1000	
Geração : 50	Fitness : -468.97	Fitness Melhor : 1000	
Geração : 51	Fitness : -402.35	Fitness Melhor : 1000	
Geração : 52	Fitness : -227.79	Fitness Melhor : 1000	
Geração : 53	Fitness : -235.34	Fitness Melhor : 1000	
Geração : 54	Fitness : -201.44	Fitness Melhor : 1000	
Geração : 55	Fitness : -571.93	Fitness Melhor : 1000	
Geração : 56	Fitness : -488.14	Fitness Melhor : 1000	
Geração : 57	Fitness : -380.48	Fitness Melhor : 1000	
Geração : 58	Fitness : -422.87	Fitness Melhor : 1000	
Geração : 59	Fitness : -321.77	Fitness Melhor : 1000	
Geração : 60	Fitness : -200.93	Fitness Melhor : 1000	
Geração : 61	Fitness : -294.82	Fitness Melhor : 1000	
Geração : 62	Fitness : -496.12	Fitness Melhor : 1000	
Geração : 63	Fitness : -229.22	Fitness Melhor : 1000	
Geração : 64	Fitness : -446.21	Fitness Melhor : 1000	
Geração : 65	Fitness : -269.31	Fitness Melhor : 1000	
Geração : 66	Fitness : -378.14	Fitness Melhor : 1000	
Geração : 67	Fitness : -306.99	Fitness Melhor : 1000	
Geração : 68	Fitness : -306.1	Fitness Melhor : 1000	
Geração : 69	Fitness : -197.61	Fitness Melhor : 1000	
Geração : 70	Fitness : -427.16	Fitness Melhor : 1000	
Geração : 71	Fitness : -191.75	Fitness Melhor : 1000	
Geração : 72	Fitness : -472.11	Fitness Melhor : 1000	
Geração : 73	Fitness : -200.15	Fitness Melhor : 1000	
Geração : 74	Fitness : -280.96	Fitness Melhor : 1000	
Geração : 75	Fitness : -407.78	Fitness Melhor : 1000	
Geração : 76	Fitness : -305.06	Fitness Melhor : 1000	
Geração : 77	Fitness : -326.13	Fitness Melhor : 1000	
Geração : 78	Fitness : -481.71	Fitness Melhor : 1000	
