nova solução
############### 
#Iooooo--ooooo# 
#-----oooo----# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 0	Fitness : -128.95	Fitness Melhor : 0	
Geração : 1	Fitness : -285.42	Fitness Melhor : -10	
Geração : 2	Fitness : -126.62	Fitness Melhor : -9	
Geração : 3	Fitness : -195.34	Fitness Melhor : -8	
Geração : 4	Fitness : -78.21	Fitness Melhor : -7	
Geração : 5	Fitness : -128.71	Fitness Melhor : -7	
Geração : 6	Fitness : -121.58	Fitness Melhor : -7	
Geração : 7	Fitness : -224.68	Fitness Melhor : -7	
Geração : 8	Fitness : -200.88	Fitness Melhor : -7	
Geração : 9	Fitness : -128.65	Fitness Melhor : -7	
Geração : 10	Fitness : -131.42	Fitness Melhor : -7	
Geração : 11	Fitness : -227.18	Fitness Melhor : 5	
Geração : 12	Fitness : -279.55	Fitness Melhor : 200	
Geração : 13	Fitness : -223.84	Fitness Melhor : 200	
Geração : 14	Fitness : -226.0	Fitness Melhor : 1000	
Geração : 15	Fitness : -122.7	Fitness Melhor : 1000	
Geração : 16	Fitness : -117.32	Fitness Melhor : 1000	
Geração : 17	Fitness : -219.61	Fitness Melhor : 1000	
Geração : 18	Fitness : -156.05	Fitness Melhor : 1000	
Geração : 19	Fitness : -184.19	Fitness Melhor : 1000	
Geração : 20	Fitness : -175.71	Fitness Melhor : 1000	
Geração : 21	Fitness : -95.97	Fitness Melhor : 1000	
Geração : 22	Fitness : -248.11	Fitness Melhor : 1000	
Geração : 23	Fitness : -184.12	Fitness Melhor : 1000	
Geração : 24	Fitness : -117.22	Fitness Melhor : 1000	
Geração : 25	Fitness : -191.73	Fitness Melhor : 1000	
Geração : 26	Fitness : -127.44	Fitness Melhor : 1000	
Geração : 27	Fitness : -177.94	Fitness Melhor : 1000	
Geração : 28	Fitness : -135.32	Fitness Melhor : 1000	
Geração : 29	Fitness : -144.21	Fitness Melhor : 1000	
Geração : 30	Fitness : -97.55	Fitness Melhor : 1000	
Geração : 31	Fitness : -287.21	Fitness Melhor : 1000	
Geração : 32	Fitness : -164.12	Fitness Melhor : 1000	
Geração : 33	Fitness : -103.56	Fitness Melhor : 1000	
Geração : 34	Fitness : -43.27	Fitness Melhor : 1000	
Geração : 35	Fitness : -238.6	Fitness Melhor : 1000	
Geração : 36	Fitness : -193.81	Fitness Melhor : 1000	
Geração : 37	Fitness : -93.07	Fitness Melhor : 1000	
Geração : 38	Fitness : -283.88	Fitness Melhor : 1000	
Geração : 39	Fitness : -196.06	Fitness Melhor : 1000	
Geração : 40	Fitness : -26.33	Fitness Melhor : 1000	
Geração : 41	Fitness : -40.41	Fitness Melhor : 1000	
Geração : 42	Fitness : -132.5	Fitness Melhor : 1000	
Geração : 43	Fitness : -40.86	Fitness Melhor : 1000	
Geração : 44	Fitness : -252.03	Fitness Melhor : 1000	
Geração : 45	Fitness : -205.08	Fitness Melhor : 1000	
Geração : 46	Fitness : -251.05	Fitness Melhor : 1000	
Geração : 47	Fitness : -241.59	Fitness Melhor : 1000	
Geração : 48	Fitness : -172.14	Fitness Melhor : 1000	
Geração : 49	Fitness : -317.02	Fitness Melhor : 1000	
Geração : 50	Fitness : -21.7	Fitness Melhor : 1000	
Geração : 51	Fitness : -112.26	Fitness Melhor : 1000	
Geração : 52	Fitness : -101.87	Fitness Melhor : 1000	
Geração : 53	Fitness : -249.83	Fitness Melhor : 1000	
Geração : 54	Fitness : -232.83	Fitness Melhor : 1000	
Geração : 55	Fitness : -108.69	Fitness Melhor : 1000	
Geração : 56	Fitness : -184.33	Fitness Melhor : 1000	
Geração : 57	Fitness : -52.06	Fitness Melhor : 1000	
Geração : 58	Fitness : -172.15	Fitness Melhor : 1000	
Geração : 59	Fitness : -139.37	Fitness Melhor : 1000	
Geração : 60	Fitness : -149.45	Fitness Melhor : 1000	
Geração : 61	Fitness : -115.77	Fitness Melhor : 1000	
Geração : 62	Fitness : -108.1	Fitness Melhor : 1000	
Geração : 63	Fitness : -142.54	Fitness Melhor : 1000	
Geração : 64	Fitness : -101.69	Fitness Melhor : 1000	
Geração : 65	Fitness : -188.26	Fitness Melhor : 1000	
Geração : 66	Fitness : -189.03	Fitness Melhor : 1000	
Geração : 67	Fitness : -117.09	Fitness Melhor : 1000	
Geração : 68	Fitness : -10.43	Fitness Melhor : 1000	
Geração : 69	Fitness : -223.44	Fitness Melhor : 1000	
Geração : 70	Fitness : -151.28	Fitness Melhor : 1000	
Geração : 71	Fitness : -58.17	Fitness Melhor : 1000	
Geração : 72	Fitness : -192.58	Fitness Melhor : 1000	
Geração : 73	Fitness : -74.06	Fitness Melhor : 1000	
Geração : 74	Fitness : -234.36	Fitness Melhor : 1000	
Geração : 75	Fitness : -60.79	Fitness Melhor : 1000	
Geração : 76	Fitness : -116.7	Fitness Melhor : 1000	
Geração : 77	Fitness : -168.5	Fitness Melhor : 1000	
Geração : 78	Fitness : -164.95	Fitness Melhor : 1000	
Geração : 79	Fitness : -49.21	Fitness Melhor : 1000	
Geração : 80	Fitness : 20.49	Fitness Melhor : 1000	
Geração : 81	Fitness : -240.45	Fitness Melhor : 1000	
Geração : 82	Fitness : -131.3	Fitness Melhor : 1000	
Geração : 83	Fitness : -186.09	Fitness Melhor : 1000	
Geração : 84	Fitness : -74.05	Fitness Melhor : 1000	
Geração : 85	Fitness : -228.64	Fitness Melhor : 1000	
Geração : 86	Fitness : -132.66	Fitness Melhor : 1000	
Geração : 87	Fitness : -212.59	Fitness Melhor : 1000	
Geração : 88	Fitness : -128.22	Fitness Melhor : 1000	
Geração : 89	Fitness : -64.14	Fitness Melhor : 1000	
Geração : 90	Fitness : -244.19	Fitness Melhor : 1000	
Geração : 91	Fitness : -138.42	Fitness Melhor : 1000	
Geração : 92	Fitness : -120.27	Fitness Melhor : 1000	
Geração : 93	Fitness : -224.93	Fitness Melhor : 1000	
Geração : 94	Fitness : -117.84	Fitness Melhor : 1000	
Geração : 95	Fitness : -142.14	Fitness Melhor : 1000	
Geração : 96	Fitness : -193.08	Fitness Melhor : 1000	
Geração : 97	Fitness : -128.07	Fitness Melhor : 1000	
Geração : 98	Fitness : -136.68	Fitness Melhor : 1000	
Geração : 99	Fitness : -246.75	Fitness Melhor : 1000	
Geração : 100	Fitness : -228.9	Fitness Melhor : 1000	
Geração : 101	Fitness : -242.07	Fitness Melhor : 1000	
Geração : 102	Fitness : -243.49	Fitness Melhor : 1000	
Geração : 103	Fitness : -176.65	Fitness Melhor : 1000	
Geração : 104	Fitness : -2.02	Fitness Melhor : 1000	
Geração : 105	Fitness : -191.43	Fitness Melhor : 1000	
Geração : 106	Fitness : -135.44	Fitness Melhor : 1000	
Geração : 107	Fitness : -205.89	Fitness Melhor : 1000	
Geração : 108	Fitness : -203.86	Fitness Melhor : 1000	
Geração : 109	Fitness : -147.81	Fitness Melhor : 1000	
Geração : 110	Fitness : -78.3	Fitness Melhor : 1000	
Geração : 111	Fitness : -201.28	Fitness Melhor : 1000	
Geração : 112	Fitness : -168.07	Fitness Melhor : 1000	
Geração : 113	Fitness : -53.57	Fitness Melhor : 1000	
Geração : 114	Fitness : -173.99	Fitness Melhor : 1000	
Geração : 115	Fitness : -244.44	Fitness Melhor : 1000	
Geração : 116	Fitness : -123.24	Fitness Melhor : 1000	
Geração : 117	Fitness : -299.41	Fitness Melhor : 1000	
Geração : 118	Fitness : -89.41	Fitness Melhor : 1000	
Geração : 119	Fitness : -204.78	Fitness Melhor : 1000	
Geração : 120	Fitness : -173.16	Fitness Melhor : 1000	
Geração : 121	Fitness : -148.01	Fitness Melhor : 1000	
Geração : 122	Fitness : -115.14	Fitness Melhor : 1000	
Geração : 123	Fitness : -87.41	Fitness Melhor : 1000	
Geração : 124	Fitness : -142.65	Fitness Melhor : 1000	
Geração : 125	Fitness : -175.11	Fitness Melhor : 1000	
Geração : 126	Fitness : -248.46	Fitness Melhor : 1000	
Geração : 127	Fitness : -294.29	Fitness Melhor : 1000	
Geração : 128	Fitness : -168.48	Fitness Melhor : 1000	
Geração : 129	Fitness : -101.73	Fitness Melhor : 1000	
Geração : 130	Fitness : -62.94	Fitness Melhor : 1000	
Geração : 131	Fitness : -150.49	Fitness Melhor : 1000	
Geração : 132	Fitness : -38.93	Fitness Melhor : 1000	
Geração : 133	Fitness : -171.45	Fitness Melhor : 1000	
Geração : 134	Fitness : -176.92	Fitness Melhor : 1000	
Geração : 135	Fitness : -192.25	Fitness Melhor : 1000	
Geração : 136	Fitness : -101.97	Fitness Melhor : 1000	
Geração : 137	Fitness : -77.17	Fitness Melhor : 1000	
Geração : 138	Fitness : -269.75	Fitness Melhor : 1000	
Geração : 139	Fitness : -226.97	Fitness Melhor : 1000	
Geração : 140	Fitness : -111.04	Fitness Melhor : 1000	
Geração : 141	Fitness : -263.09	Fitness Melhor : 1000	
Geração : 142	Fitness : -248.58	Fitness Melhor : 1000	
Geração : 143	Fitness : -355.47	Fitness Melhor : 1000	
Geração : 144	Fitness : -155.76	Fitness Melhor : 1000	
Geração : 145	Fitness : -221.05	Fitness Melhor : 1000	
Geração : 146	Fitness : -17.48	Fitness Melhor : 1000	
Geração : 147	Fitness : -224.57	Fitness Melhor : 1000	
Geração : 148	Fitness : -224.03	Fitness Melhor : 1000	
Geração : 149	Fitness : -158.0	Fitness Melhor : 1000	
Geração : 150	Fitness : -278.95	Fitness Melhor : 1000	
Geração : 151	Fitness : -183.0	Fitness Melhor : 1000	
Geração : 152	Fitness : -219.88	Fitness Melhor : 1000	
Geração : 153	Fitness : -103.93	Fitness Melhor : 1000	
Geração : 154	Fitness : -156.8	Fitness Melhor : 1000	
Geração : 155	Fitness : -118.59	Fitness Melhor : 1000	
Geração : 156	Fitness : 10.94	Fitness Melhor : 1000	
Geração : 157	Fitness : -219.16	Fitness Melhor : 1000	
