Geração : 0	Fitness : -441.31	Fitness Melhor : -400	
Geração : 1	Fitness : -534.04	Fitness Melhor : -200	
Geração : 2	Fitness : -486.13	Fitness Melhor : -192	
Geração : 3	Fitness : -412.29	Fitness Melhor : 9	
Geração : 4	Fitness : -264.46	Fitness Melhor : 9	
Geração : 5	Fitness : -305.85	Fitness Melhor : 400	
Geração : 6	Fitness : -144.64	Fitness Melhor : 800	
Geração : 7	Fitness : -618.39	Fitness Melhor : 800	
Geração : 8	Fitness : -296.74	Fitness Melhor : 800	
Geração : 9	Fitness : -326.09	Fitness Melhor : 800	
Geração : 10	Fitness : -233.98	Fitness Melhor : 1000	
Geração : 11	Fitness : -117.26	Fitness Melhor : 1000	
Geração : 12	Fitness : -198.35	Fitness Melhor : 1000	
Geração : 13	Fitness : -170.6	Fitness Melhor : 1000	
Geração : 14	Fitness : -109.07	Fitness Melhor : 1000	
Geração : 15	Fitness : -397.9	Fitness Melhor : 1000	
Geração : 16	Fitness : -43.39	Fitness Melhor : 1000	
Geração : 17	Fitness : -115.16	Fitness Melhor : 1000	
Geração : 18	Fitness : -96.78	Fitness Melhor : 1000	
Geração : 19	Fitness : -49.24	Fitness Melhor : 1000	
Geração : 20	Fitness : -166.58	Fitness Melhor : 1000	
Geração : 21	Fitness : -209.35	Fitness Melhor : 1000	
Geração : 22	Fitness : -225.12	Fitness Melhor : 1000	
Geração : 23	Fitness : -147.4	Fitness Melhor : 1000	
Geração : 24	Fitness : -90.35	Fitness Melhor : 1000	
Geração : 25	Fitness : -15.32	Fitness Melhor : 1000	
Geração : 26	Fitness : -129.3	Fitness Melhor : 1000	
Geração : 27	Fitness : -131.88	Fitness Melhor : 1000	
Geração : 28	Fitness : -202.77	Fitness Melhor : 1000	
Geração : 29	Fitness : -63.66	Fitness Melhor : 1000	
Geração : 30	Fitness : -229.3	Fitness Melhor : 1000	
Geração : 31	Fitness : -91.79	Fitness Melhor : 1000	
Geração : 32	Fitness : -138.93	Fitness Melhor : 1000	
Geração : 33	Fitness : -48.57	Fitness Melhor : 1000	
Geração : 34	Fitness : -189.67	Fitness Melhor : 1000	
Geração : 35	Fitness : -144.35	Fitness Melhor : 1000	
Geração : 36	Fitness : -84.06	Fitness Melhor : 1000	
Geração : 37	Fitness : -143.75	Fitness Melhor : 1000	
Geração : 38	Fitness : -167.21	Fitness Melhor : 1000	
Geração : 39	Fitness : -148.44	Fitness Melhor : 1000	
Geração : 40	Fitness : -223.47	Fitness Melhor : 1000	
Geração : 41	Fitness : -75.32	Fitness Melhor : 1000	
Geração : 42	Fitness : -107.62	Fitness Melhor : 1000	
Geração : 43	Fitness : -96.36	Fitness Melhor : 1000	
Geração : 44	Fitness : -145.6	Fitness Melhor : 1000	
Geração : 45	Fitness : -16.92	Fitness Melhor : 1000	
Geração : 46	Fitness : -61.46	Fitness Melhor : 1000	
Geração : 47	Fitness : -122.79	Fitness Melhor : 1000	
Geração : 48	Fitness : -121.44	Fitness Melhor : 1000	
Geração : 49	Fitness : -125.4	Fitness Melhor : 1000	
Geração : 50	Fitness : -230.3	Fitness Melhor : 1000	
Geração : 51	Fitness : -98.33	Fitness Melhor : 1000	
Geração : 52	Fitness : -165.92	Fitness Melhor : 1000	
Geração : 53	Fitness : -111.72	Fitness Melhor : 1000	
Geração : 54	Fitness : -149.44	Fitness Melhor : 1000	
Geração : 55	Fitness : -132.34	Fitness Melhor : 1000	
Geração : 56	Fitness : -102.48	Fitness Melhor : 1000	
Geração : 57	Fitness : -78.1	Fitness Melhor : 1000	
Geração : 58	Fitness : -60.9	Fitness Melhor : 1000	
Geração : 59	Fitness : -196.07	Fitness Melhor : 1000	
Geração : 60	Fitness : -143.15	Fitness Melhor : 1000	
Geração : 61	Fitness : -86.52	Fitness Melhor : 1000	
Geração : 62	Fitness : -153.31	Fitness Melhor : 1000	
Geração : 63	Fitness : -114.33	Fitness Melhor : 1000	
Geração : 64	Fitness : -116.89	Fitness Melhor : 1000	
Geração : 65	Fitness : -230.67	Fitness Melhor : 1000	
Geração : 66	Fitness : -51.14	Fitness Melhor : 1000	
Geração : 67	Fitness : -67.63	Fitness Melhor : 1000	
Geração : 68	Fitness : -168.73	Fitness Melhor : 1000	
Geração : 69	Fitness : -118.64	Fitness Melhor : 1000	
Geração : 70	Fitness : -92.81	Fitness Melhor : 1000	
Geração : 71	Fitness : -55.36	Fitness Melhor : 1000	
Geração : 72	Fitness : -14.2	Fitness Melhor : 1000	
Geração : 73	Fitness : -56.11	Fitness Melhor : 1000	
Geração : 74	Fitness : -171.07	Fitness Melhor : 1000	
Geração : 75	Fitness : -59.44	Fitness Melhor : 1000	
Geração : 76	Fitness : -136.75	Fitness Melhor : 1000	
Geração : 77	Fitness : -150.89	Fitness Melhor : 1000	
Geração : 78	Fitness : -115.58	Fitness Melhor : 1000	
Geração : 79	Fitness : -35.38	Fitness Melhor : 1000	
Geração : 80	Fitness : -68.75	Fitness Melhor : 1000	
Geração : 81	Fitness : -82.58	Fitness Melhor : 1000	
Geração : 82	Fitness : -169.66	Fitness Melhor : 1000	
Geração : 83	Fitness : -181.55	Fitness Melhor : 1000	
Geração : 84	Fitness : -129.63	Fitness Melhor : 1000	
Geração : 85	Fitness : -64.66	Fitness Melhor : 1000	
Geração : 86	Fitness : -107.17	Fitness Melhor : 1000	
Geração : 87	Fitness : -225.05	Fitness Melhor : 1000	
Geração : 88	Fitness : -183.11	Fitness Melhor : 1000	
Geração : 89	Fitness : -212.95	Fitness Melhor : 1000	
Geração : 90	Fitness : -240.7	Fitness Melhor : 1000	
Geração : 91	Fitness : -53.97	Fitness Melhor : 1000	
Geração : 92	Fitness : -264.71	Fitness Melhor : 1000	
Geração : 93	Fitness : -227.93	Fitness Melhor : 1000	
