Geração : 0	Fitness : -399.7	Fitness Melhor : 0	
Geração : 1	Fitness : -333.89	Fitness Melhor : -195	
Geração : 2	Fitness : -355.92	Fitness Melhor : 3	
Geração : 3	Fitness : -428.33	Fitness Melhor : 600	
Geração : 4	Fitness : -186.33	Fitness Melhor : 800	
Geração : 5	Fitness : -184.62	Fitness Melhor : 800	
Geração : 6	Fitness : -340.49	Fitness Melhor : 800	
Geração : 7	Fitness : -124.49	Fitness Melhor : 800	
Geração : 8	Fitness : -290.34	Fitness Melhor : 800	
Geração : 9	Fitness : -190.53	Fitness Melhor : 800	
Geração : 10	Fitness : -133.88	Fitness Melhor : 800	
Geração : 11	Fitness : -157.03	Fitness Melhor : 800	
Geração : 12	Fitness : -186.72	Fitness Melhor : 800	
Geração : 13	Fitness : -305.94	Fitness Melhor : 800	
Geração : 14	Fitness : -182.32	Fitness Melhor : 800	
Geração : 15	Fitness : -87.26	Fitness Melhor : 800	
Geração : 16	Fitness : -360.2	Fitness Melhor : 800	
Geração : 17	Fitness : -294.41	Fitness Melhor : 800	
Geração : 18	Fitness : -247.86	Fitness Melhor : 800	
Geração : 19	Fitness : -335.89	Fitness Melhor : 800	
Geração : 20	Fitness : -226.39	Fitness Melhor : 800	
Geração : 21	Fitness : -290.24	Fitness Melhor : 800	
Geração : 22	Fitness : -194.45	Fitness Melhor : 800	
Geração : 23	Fitness : -263.77	Fitness Melhor : 800	
Geração : 24	Fitness : -298.91	Fitness Melhor : 800	
Geração : 25	Fitness : -182.08	Fitness Melhor : 800	
Geração : 26	Fitness : -86.95	Fitness Melhor : 800	
Geração : 27	Fitness : -189.15	Fitness Melhor : 800	
Geração : 28	Fitness : -156.53	Fitness Melhor : 800	
Geração : 29	Fitness : -230.3	Fitness Melhor : 800	
Geração : 30	Fitness : -364.09	Fitness Melhor : 800	
Geração : 31	Fitness : -162.51	Fitness Melhor : 800	
Geração : 32	Fitness : -286.4	Fitness Melhor : 800	
Geração : 33	Fitness : -242.03	Fitness Melhor : 800	
Geração : 34	Fitness : -270.52	Fitness Melhor : 800	
Geração : 35	Fitness : -206.63	Fitness Melhor : 800	
Geração : 36	Fitness : -188.23	Fitness Melhor : 800	
Geração : 37	Fitness : -310.07	Fitness Melhor : 800	
Geração : 38	Fitness : -184.2	Fitness Melhor : 800	
Geração : 39	Fitness : -228.73	Fitness Melhor : 800	
Geração : 40	Fitness : -389.56	Fitness Melhor : 800	
Geração : 41	Fitness : -128.58	Fitness Melhor : 800	
Geração : 42	Fitness : -242.11	Fitness Melhor : 800	
Geração : 43	Fitness : -210.73	Fitness Melhor : 800	
Geração : 44	Fitness : -217.98	Fitness Melhor : 800	
Geração : 45	Fitness : -184.38	Fitness Melhor : 800	
Geração : 46	Fitness : -298.12	Fitness Melhor : 800	
Geração : 47	Fitness : -232.09	Fitness Melhor : 800	
Geração : 48	Fitness : -146.15	Fitness Melhor : 800	
Geração : 49	Fitness : -114.85	Fitness Melhor : 800	
Geração : 50	Fitness : -324.42	Fitness Melhor : 800	
