
Solução nova :

############### 
#Ioooooo-----o# 
#------ooooooo# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
############### 

Geração : 0	Fitness : -120.79	Fitness Melhor : 0	
Geração : 1	Fitness : -149.15	Fitness Melhor : -11	
Geração : 2	Fitness : -148.05	Fitness Melhor : -10	
Geração : 3	Fitness : -111.35	Fitness Melhor : -9	
Geração : 4	Fitness : -156.38	Fitness Melhor : -7	
Geração : 5	Fitness : -99.79	Fitness Melhor : -7	
Geração : 6	Fitness : -51.52	Fitness Melhor : -7	
Geração : 7	Fitness : -175.54	Fitness Melhor : -7	
Geração : 8	Fitness : -81.79	Fitness Melhor : -7	
Geração : 9	Fitness : -111.35	Fitness Melhor : -7	
Geração : 10	Fitness : -127.17	Fitness Melhor : -7	
Geração : 11	Fitness : -118.02	Fitness Melhor : -7	
Geração : 12	Fitness : -39.67	Fitness Melhor : -7	
Geração : 13	Fitness : -111.42	Fitness Melhor : -7	
Geração : 14	Fitness : -261.38	Fitness Melhor : -7	
Geração : 15	Fitness : -133.79	Fitness Melhor : -7	
Geração : 16	Fitness : -77.93	Fitness Melhor : -7	
Geração : 17	Fitness : -132.88	Fitness Melhor : -7	
Geração : 18	Fitness : -124.17	Fitness Melhor : -7	
Geração : 19	Fitness : -71.06	Fitness Melhor : -7	
Geração : 20	Fitness : -78.15	Fitness Melhor : -7	
Geração : 21	Fitness : -128.84	Fitness Melhor : -7	
Geração : 22	Fitness : -109.7	Fitness Melhor : -7	
Geração : 23	Fitness : -171.32	Fitness Melhor : -7	
Geração : 24	Fitness : -302.37	Fitness Melhor : -7	
Geração : 25	Fitness : -170.05	Fitness Melhor : -7	
Geração : 26	Fitness : -75.03	Fitness Melhor : -7	
Geração : 27	Fitness : -226.36	Fitness Melhor : -7	
Geração : 28	Fitness : -259.4	Fitness Melhor : -7	
Geração : 29	Fitness : -180.3	Fitness Melhor : -7	
Geração : 30	Fitness : -173.19	Fitness Melhor : -7	
Geração : 31	Fitness : -170.06	Fitness Melhor : -7	
Geração : 32	Fitness : -138.49	Fitness Melhor : -7	
Geração : 33	Fitness : -208.14	Fitness Melhor : -7	
Geração : 34	Fitness : -67.48	Fitness Melhor : -7	
Geração : 35	Fitness : -128.65	Fitness Melhor : -7	
Geração : 36	Fitness : -34.94	Fitness Melhor : -7	
Geração : 37	Fitness : -226.79	Fitness Melhor : -7	
Geração : 38	Fitness : -107.53	Fitness Melhor : -7	
Geração : 39	Fitness : -139.43	Fitness Melhor : -7	
Geração : 40	Fitness : -149.51	Fitness Melhor : -7	
Geração : 41	Fitness : -82.8	Fitness Melhor : -7	
Geração : 42	Fitness : -87.9	Fitness Melhor : -7	
Geração : 43	Fitness : -208.92	Fitness Melhor : -7	
Geração : 44	Fitness : -176.47	Fitness Melhor : -7	
