Labirinto 1
###############
#---##------###
#------###---##
###-----#-----#
#I------###--##
###----------##
#F-----####--##
#---#---------#
#------####---#
###############
Solução do Labirinto 1
############### 
#---##------### 
#------###---## 
###-----#-----# 
#Ioo----###--## 
###o---------## 
#ooo---####--## 
#---#---------# 
#------####---# 
############### 
Geração : 0	Fitness : -474.54	Fitness Melhor : -1002	
Geração : 1	Fitness : -279.44	Fitness Melhor : 7	
Geração : 2	Fitness : -204.73	Fitness Melhor : 7	
Geração : 3	Fitness : -188.16	Fitness Melhor : 7	
Geração : 4	Fitness : -289.49	Fitness Melhor : 7	
Geração : 5	Fitness : -544.51	Fitness Melhor : 7	
Geração : 6	Fitness : -251.58	Fitness Melhor : 7	
Geração : 7	Fitness : -422.05	Fitness Melhor : 9	
Geração : 8	Fitness : -200.22	Fitness Melhor : 600	
Geração : 9	Fitness : -597.17	Fitness Melhor : 600	
Geração : 10	Fitness : -394.46	Fitness Melhor : 600	
Geração : 11	Fitness : -592.02	Fitness Melhor : 600	
Geração : 12	Fitness : -252.38	Fitness Melhor : 600	
Geração : 13	Fitness : -263.84	Fitness Melhor : 600	
Geração : 14	Fitness : -366.44	Fitness Melhor : 600	
Geração : 15	Fitness : -368.46	Fitness Melhor : 600	
Geração : 16	Fitness : -350.31	Fitness Melhor : 600	
Geração : 17	Fitness : -458.39	Fitness Melhor : 600	
Geração : 18	Fitness : -232.26	Fitness Melhor : 1000	
Geração : 19	Fitness : -320.19	Fitness Melhor : 1000	
Geração : 20	Fitness : -132.9	Fitness Melhor : 1000	
Geração : 21	Fitness : -533.26	Fitness Melhor : 1000	
Geração : 22	Fitness : -451.97	Fitness Melhor : 1000	
Geração : 23	Fitness : -295.23	Fitness Melhor : 1000	
Geração : 24	Fitness : -191.76	Fitness Melhor : 1000	
Geração : 25	Fitness : -496.68	Fitness Melhor : 1000	
Geração : 26	Fitness : -185.91	Fitness Melhor : 1000	
Geração : 27	Fitness : -342.16	Fitness Melhor : 1000	
Geração : 28	Fitness : -327.64	Fitness Melhor : 1000	
Geração : 29	Fitness : -329.17	Fitness Melhor : 1000	
Geração : 30	Fitness : -226.7	Fitness Melhor : 1000	
Geração : 31	Fitness : -369.3	Fitness Melhor : 1000	
Geração : 32	Fitness : -253.05	Fitness Melhor : 1000	
Geração : 33	Fitness : -349.45	Fitness Melhor : 1000	
Geração : 34	Fitness : -238.26	Fitness Melhor : 1000	
Geração : 35	Fitness : -200.59	Fitness Melhor : 1000	
Geração : 36	Fitness : -304.68	Fitness Melhor : 1000	
Geração : 37	Fitness : -454.33	Fitness Melhor : 1000	
Geração : 38	Fitness : -491.11	Fitness Melhor : 1000	
Geração : 39	Fitness : -265.83	Fitness Melhor : 1000	
Geração : 40	Fitness : -323.39	Fitness Melhor : 1000	
Geração : 41	Fitness : -277.45	Fitness Melhor : 1000	
Geração : 42	Fitness : -104.83	Fitness Melhor : 1000	
Geração : 43	Fitness : -276.49	Fitness Melhor : 1000	
Geração : 44	Fitness : -520.97	Fitness Melhor : 1000	
Geração : 45	Fitness : -439.93	Fitness Melhor : 1000	
Geração : 46	Fitness : -423.14	Fitness Melhor : 1000	
Geração : 47	Fitness : -845.94	Fitness Melhor : 1000	
Geração : 48	Fitness : -433.12	Fitness Melhor : 1000	
Geração : 49	Fitness : -205.12	Fitness Melhor : 1000	
Geração : 50	Fitness : -447.06	Fitness Melhor : 1000	
Geração : 51	Fitness : -201.86	Fitness Melhor : 1000	
Geração : 52	Fitness : -348.7	Fitness Melhor : 1000	
Geração : 53	Fitness : -342.19	Fitness Melhor : 1000	
Geração : 54	Fitness : -267.83	Fitness Melhor : 1000	
Geração : 55	Fitness : -225.64	Fitness Melhor : 1000	
Geração : 56	Fitness : -233.83	Fitness Melhor : 1000	
Geração : 57	Fitness : -258.62	Fitness Melhor : 1000	
Geração : 58	Fitness : -169.22	Fitness Melhor : 1000	
Geração : 59	Fitness : -317.81	Fitness Melhor : 1000	
Geração : 60	Fitness : -213.76	Fitness Melhor : 1000	
Geração : 61	Fitness : -339.83	Fitness Melhor : 1000	
Geração : 62	Fitness : -393.91	Fitness Melhor : 1000	
Geração : 63	Fitness : -299.48	Fitness Melhor : 1000	
Geração : 64	Fitness : -357.1	Fitness Melhor : 1000	
Geração : 65	Fitness : -231.99	Fitness Melhor : 1000	
Geração : 66	Fitness : -150.8	Fitness Melhor : 1000	
Geração : 67	Fitness : -294.61	Fitness Melhor : 1000	
Geração : 68	Fitness : -205.94	Fitness Melhor : 1000	
Geração : 69	Fitness : -341.86	Fitness Melhor : 1000	
Geração : 70	Fitness : -342.64	Fitness Melhor : 1000	
Geração : 71	Fitness : -502.56	Fitness Melhor : 1000	
Geração : 72	Fitness : -387.07	Fitness Melhor : 1000	
Geração : 73	Fitness : -366.33	Fitness Melhor : 1000	
Geração : 74	Fitness : -575.31	Fitness Melhor : 1000	
Geração : 75	Fitness : -306.13	Fitness Melhor : 1000	
Geração : 76	Fitness : -493.65	Fitness Melhor : 1000	
Geração : 77	Fitness : -510.64	Fitness Melhor : 1000	
Geração : 78	Fitness : -178.42	Fitness Melhor : 1000	
Geração : 79	Fitness : -369.0	Fitness Melhor : 1000	
Geração : 80	Fitness : -283.2	Fitness Melhor : 1000	
Geração : 81	Fitness : -188.14	Fitness Melhor : 1000	
Geração : 82	Fitness : -676.66	Fitness Melhor : 1000	
Geração : 83	Fitness : -436.25	Fitness Melhor : 1000	
Geração : 84	Fitness : -271.42	Fitness Melhor : 1000	
Geração : 85	Fitness : -139.19	Fitness Melhor : 1000	
Geração : 86	Fitness : -459.75	Fitness Melhor : 1000	
Geração : 87	Fitness : -403.49	Fitness Melhor : 1000	
Geração : 88	Fitness : -305.45	Fitness Melhor : 1000	
Geração : 89	Fitness : -440.72	Fitness Melhor : 1000	
Geração : 90	Fitness : -91.3	Fitness Melhor : 1000	
Geração : 91	Fitness : -533.37	Fitness Melhor : 1000	
Geração : 92	Fitness : -125.33	Fitness Melhor : 1000	
Geração : 93	Fitness : -205.89	Fitness Melhor : 1000	
Geração : 94	Fitness : -399.55	Fitness Melhor : 1000	
Geração : 95	Fitness : -820.96	Fitness Melhor : 1000	
Geração : 96	Fitness : -391.88	Fitness Melhor : 1000	
Geração : 97	Fitness : -433.07	Fitness Melhor : 1000	
Geração : 98	Fitness : -101.04	Fitness Melhor : 1000	
Geração : 99	Fitness : -560.93	Fitness Melhor : 1000	
Geração : 100	Fitness : -93.47	Fitness Melhor : 1000	
Geração : 101	Fitness : -349.44	Fitness Melhor : 1000	
Geração : 102	Fitness : -204.29	Fitness Melhor : 1000	
Geração : 103	Fitness : -185.77	Fitness Melhor : 1000	
