

Labirinto 2
###############
#I--#---#-----#
#-------#--####
###-----#-----#
#F------#-----#
######--#-----#
#---------#---#
#------#--#---#
#------#--#---#
###############

Solução do Labirinto 2
############### 
#o--#---#-----# 
#ooo----#--#### 
###o----#-----# 
#ooo----#-----# 
######--#-----# 
#---------#---# 
#------#--#---# 
#------#--#---# 
############### 

Geração : 0	Fitness : -209.66	Fitness Melhor : -796	
Geração : 1	Fitness : -333.24	Fitness Melhor : -405	
Geração : 2	Fitness : -344.38	Fitness Melhor : 5	
Geração : 3	Fitness : -451.72	Fitness Melhor : 5	
Geração : 4	Fitness : -456.24	Fitness Melhor : 5	
Geração : 5	Fitness : -298.43	Fitness Melhor : 5	
Geração : 6	Fitness : -334.84	Fitness Melhor : 6	
Geração : 7	Fitness : -426.02	Fitness Melhor : 6	
Geração : 8	Fitness : -335.22	Fitness Melhor : 6	
Geração : 9	Fitness : -505.56	Fitness Melhor : 6	
Geração : 10	Fitness : -313.82	Fitness Melhor : 6	
Geração : 11	Fitness : -600.6	Fitness Melhor : 6	
Geração : 12	Fitness : -440.55	Fitness Melhor : 6	
Geração : 13	Fitness : -699.65	Fitness Melhor : 6	
Geração : 14	Fitness : -263.44	Fitness Melhor : 6	
Geração : 15	Fitness : -350.82	Fitness Melhor : 6	
Geração : 16	Fitness : -471.49	Fitness Melhor : 6	
Geração : 17	Fitness : -482.22	Fitness Melhor : 600	
Geração : 18	Fitness : -675.5	Fitness Melhor : 600	
Geração : 19	Fitness : -599.52	Fitness Melhor : 600	
Geração : 20	Fitness : -645.7	Fitness Melhor : 600	
Geração : 21	Fitness : -534.16	Fitness Melhor : 600	
Geração : 22	Fitness : -498.79	Fitness Melhor : 600	
Geração : 23	Fitness : -373.57	Fitness Melhor : 600	
Geração : 24	Fitness : -480.71	Fitness Melhor : 600	
Geração : 25	Fitness : -483.21	Fitness Melhor : 600	
Geração : 26	Fitness : -502.47	Fitness Melhor : 600	
Geração : 27	Fitness : -484.73	Fitness Melhor : 600	
Geração : 28	Fitness : -550.35	Fitness Melhor : 600	
Geração : 29	Fitness : -444.35	Fitness Melhor : 600	
Geração : 30	Fitness : -530.08	Fitness Melhor : 600	
Geração : 31	Fitness : -577.89	Fitness Melhor : 600	
Geração : 32	Fitness : -449.46	Fitness Melhor : 600	
Geração : 33	Fitness : -422.18	Fitness Melhor : 600	
Geração : 34	Fitness : -528.35	Fitness Melhor : 600	
Geração : 35	Fitness : -594.82	Fitness Melhor : 600	
Geração : 36	Fitness : -376.29	Fitness Melhor : 600	
Geração : 37	Fitness : -516.81	Fitness Melhor : 600	
Geração : 38	Fitness : -765.38	Fitness Melhor : 600	
Geração : 39	Fitness : -390.55	Fitness Melhor : 600	
Geração : 40	Fitness : -593.54	Fitness Melhor : 600	
Geração : 41	Fitness : -463.99	Fitness Melhor : 600	
Geração : 42	Fitness : -406.25	Fitness Melhor : 600	
Geração : 43	Fitness : -677.71	Fitness Melhor : 600	
Geração : 44	Fitness : -385.51	Fitness Melhor : 600	
Geração : 45	Fitness : -311.17	Fitness Melhor : 600	
Geração : 46	Fitness : -430.4	Fitness Melhor : 600	
Geração : 47	Fitness : -376.21	Fitness Melhor : 600	
Geração : 48	Fitness : -432.37	Fitness Melhor : 600	
Geração : 49	Fitness : -440.6	Fitness Melhor : 600	
Geração : 50	Fitness : -573.78	Fitness Melhor : 600	
Geração : 51	Fitness : -404.16	Fitness Melhor : 600	
Geração : 52	Fitness : -659.33	Fitness Melhor : 600	
Geração : 53	Fitness : -492.23	Fitness Melhor : 600	
Geração : 54	Fitness : -314.35	Fitness Melhor : 1000	
Geração : 55	Fitness : -327.88	Fitness Melhor : 1000	
Geração : 56	Fitness : -280.38	Fitness Melhor : 1000	
Geração : 57	Fitness : -352.06	Fitness Melhor : 1000	
Geração : 58	Fitness : -323.63	Fitness Melhor : 1000	
Geração : 59	Fitness : -388.63	Fitness Melhor : 1000	
Geração : 60	Fitness : -409.54	Fitness Melhor : 1000	
Geração : 61	Fitness : -435.23	Fitness Melhor : 1000	
Geração : 62	Fitness : -196.84	Fitness Melhor : 1000	
Geração : 63	Fitness : -180.65	Fitness Melhor : 1000	
Geração : 64	Fitness : -179.31	Fitness Melhor : 1000	
Geração : 65	Fitness : -510.49	Fitness Melhor : 1000	
Geração : 66	Fitness : -284.66	Fitness Melhor : 1000	
Geração : 67	Fitness : -529.85	Fitness Melhor : 1000	
Geração : 68	Fitness : -432.28	Fitness Melhor : 1000	
Geração : 69	Fitness : -151.47	Fitness Melhor : 1000	
Geração : 70	Fitness : -258.71	Fitness Melhor : 1000	
Geração : 71	Fitness : -433.34	Fitness Melhor : 1000	
Geração : 72	Fitness : -250.24	Fitness Melhor : 1000	
Geração : 73	Fitness : -260.96	Fitness Melhor : 1000	
Geração : 74	Fitness : -281.68	Fitness Melhor : 1000	
Geração : 75	Fitness : -305.91	Fitness Melhor : 1000	
Geração : 76	Fitness : -316.74	Fitness Melhor : 1000	
Geração : 77	Fitness : -304.33	Fitness Melhor : 1000	
Geração : 78	Fitness : -507.69	Fitness Melhor : 1000	
Geração : 79	Fitness : -240.59	Fitness Melhor : 1000	
Geração : 80	Fitness : -340.35	Fitness Melhor : 1000	
Geração : 81	Fitness : -329.52	Fitness Melhor : 1000	
Geração : 82	Fitness : -480.8	Fitness Melhor : 1000	
Geração : 83	Fitness : -349.23	Fitness Melhor : 1000	
Geração : 84	Fitness : -294.92	Fitness Melhor : 1000	
Geração : 85	Fitness : -268.39	Fitness Melhor : 1000	
Geração : 86	Fitness : -348.97	Fitness Melhor : 1000	
Geração : 87	Fitness : -442.99	Fitness Melhor : 1000	
Geração : 88	Fitness : -599.98	Fitness Melhor : 1000	
Geração : 89	Fitness : -266.68	Fitness Melhor : 1000	
Geração : 90	Fitness : -318.59	Fitness Melhor : 1000	
Geração : 91	Fitness : -194.57	Fitness Melhor : 1000	
Geração : 92	Fitness : -238.7	Fitness Melhor : 1000	
Geração : 93	Fitness : -616.38	Fitness Melhor : 1000	
Geração : 94	Fitness : -345.45	Fitness Melhor : 1000	
Geração : 95	Fitness : -506.62	Fitness Melhor : 1000	
Geração : 96	Fitness : -200.17	Fitness Melhor : 1000	
Geração : 97	Fitness : -269.46	Fitness Melhor : 1000	
Geração : 98	Fitness : -384.54	Fitness Melhor : 1000	
Geração : 99	Fitness : -352.02	Fitness Melhor : 1000	
Geração : 100	Fitness : -288.33	Fitness Melhor : 1000	
Geração : 101	Fitness : -247.92	Fitness Melhor : 1000	
Geração : 102	Fitness : -282.13	Fitness Melhor : 1000	
Geração : 103	Fitness : -306.06	Fitness Melhor : 1000	
Geração : 104	Fitness : -370.38	Fitness Melhor : 1000	
Geração : 105	Fitness : -542.42	Fitness Melhor : 1000	
Geração : 106	Fitness : -339.43	Fitness Melhor : 1000	
Geração : 107	Fitness : -230.8	Fitness Melhor : 1000	
Geração : 108	Fitness : -117.44	Fitness Melhor : 1000	
Geração : 109	Fitness : -228.63	Fitness Melhor : 1000	
Geração : 110	Fitness : -256.44	Fitness Melhor : 1000	
Geração : 111	Fitness : -480.69	Fitness Melhor : 1000	
Geração : 112	Fitness : -362.58	Fitness Melhor : 1000	
Geração : 113	Fitness : -185.71	Fitness Melhor : 1000	
Geração : 114	Fitness : -326.56	Fitness Melhor : 1000	
Geração : 115	Fitness : -473.37	Fitness Melhor : 1000	
Geração : 116	Fitness : -583.64	Fitness Melhor : 1000	
Geração : 117	Fitness : -296.32	Fitness Melhor : 1000	
Geração : 118	Fitness : -330.15	Fitness Melhor : 1000	
Geração : 119	Fitness : -705.41	Fitness Melhor : 1000	
Geração : 120	Fitness : -307.24	Fitness Melhor : 1000	
Geração : 121	Fitness : -488.37	Fitness Melhor : 1000	
Geração : 122	Fitness : -218.14	Fitness Melhor : 1000	
Geração : 123	Fitness : -325.99	Fitness Melhor : 1000	
Geração : 124	Fitness : -344.53	Fitness Melhor : 1000	
Geração : 125	Fitness : -494.44	Fitness Melhor : 1000	
Geração : 126	Fitness : -158.67	Fitness Melhor : 1000	
Geração : 127	Fitness : -313.21	Fitness Melhor : 1000	
Geração : 128	Fitness : -184.48	Fitness Melhor : 1000	
Geração : 129	Fitness : -422.49	Fitness Melhor : 1000	
Geração : 130	Fitness : -437.22	Fitness Melhor : 1000	
Geração : 131	Fitness : -373.63	Fitness Melhor : 1000	
Geração : 132	Fitness : -295.9	Fitness Melhor : 1000	
Geração : 133	Fitness : -144.33	Fitness Melhor : 1000	
Geração : 134	Fitness : -244.49	Fitness Melhor : 1000	
Geração : 135	Fitness : -404.79	Fitness Melhor : 1000	
Geração : 136	Fitness : -244.2	Fitness Melhor : 1000	
Geração : 137	Fitness : -310.22	Fitness Melhor : 1000	
Geração : 138	Fitness : -282.24	Fitness Melhor : 1000	
Geração : 139	Fitness : -484.13	Fitness Melhor : 1000	
Geração : 140	Fitness : -432.81	Fitness Melhor : 1000	
Geração : 141	Fitness : -392.4	Fitness Melhor : 1000	
Geração : 142	Fitness : -306.18	Fitness Melhor : 1000	
Geração : 143	Fitness : -397.82	Fitness Melhor : 1000	
Geração : 144	Fitness : -164.53	Fitness Melhor : 1000	
Geração : 145	Fitness : -237.15	Fitness Melhor : 1000	
Geração : 146	Fitness : -484.01	Fitness Melhor : 1000	
Geração : 147	Fitness : -297.79	Fitness Melhor : 1000	
