############### 
#o--#---#-----# 
#ooo----#--#### 
###ooo--#-----# 
#----oo-#-----# 
######oo#-----# 
#------oo-#---# 
#------#o-#---# 
#------#o-#---# 
###############

Geração : 0	Fitness : -82.24	Fitness Melhor : 0	
Geração : 1	Fitness : -274.42	Fitness Melhor : -94	
Geração : 2	Fitness : -277.02	Fitness Melhor : 19	
Geração : 3	Fitness : -414.32	Fitness Melhor : 19	
Geração : 4	Fitness : -146.85	Fitness Melhor : 20	
Geração : 5	Fitness : -130.15	Fitness Melhor : 1000	
Geração : 6	Fitness : -36.51	Fitness Melhor : 1000	
Geração : 7	Fitness : -311.43	Fitness Melhor : 1000	
Geração : 8	Fitness : -16.94	Fitness Melhor : 1000	
Geração : 9	Fitness : -153.43	Fitness Melhor : 1000	
Geração : 10	Fitness : -251.8	Fitness Melhor : 1000	
Geração : 11	Fitness : -39.65	Fitness Melhor : 1000	
Geração : 12	Fitness : -31.92	Fitness Melhor : 1000	
Geração : 13	Fitness : -226.45	Fitness Melhor : 1000	
Geração : 14	Fitness : -56.97	Fitness Melhor : 1000	
Geração : 15	Fitness : -259.24	Fitness Melhor : 1000	
Geração : 16	Fitness : 3.14	Fitness Melhor : 1000	
Geração : 17	Fitness : -131.53	Fitness Melhor : 1000	
Geração : 18	Fitness : -28.23	Fitness Melhor : 1000	
Geração : 19	Fitness : -105.39	Fitness Melhor : 1000	
Geração : 20	Fitness : -138.37	Fitness Melhor : 1000	
Geração : 21	Fitness : -75.57	Fitness Melhor : 1000	
Geração : 22	Fitness : -113.2	Fitness Melhor : 1000	
Geração : 23	Fitness : -14.39	Fitness Melhor : 1000	
Geração : 24	Fitness : -83.96	Fitness Melhor : 1000	
Geração : 25	Fitness : -229.33	Fitness Melhor : 1000	
Geração : 26	Fitness : -107.3	Fitness Melhor : 1000	
Geração : 27	Fitness : -180.99	Fitness Melhor : 1000	
Geração : 28	Fitness : -109.02	Fitness Melhor : 1000	
Geração : 29	Fitness : -104.63	Fitness Melhor : 1000	
Geração : 30	Fitness : -88.24	Fitness Melhor : 1000	
Geração : 31	Fitness : -49.98	Fitness Melhor : 1000	
Geração : 32	Fitness : -59.8	Fitness Melhor : 1000	
Geração : 33	Fitness : -152.03	Fitness Melhor : 1000	
Geração : 34	Fitness : -150.43	Fitness Melhor : 1000	
Geração : 35	Fitness : -207.98	Fitness Melhor : 1000	
Geração : 36	Fitness : -26.88	Fitness Melhor : 1000	
Geração : 37	Fitness : -94.58	Fitness Melhor : 1000	
Geração : 38	Fitness : -101.41	Fitness Melhor : 1000	
Geração : 39	Fitness : -58.41	Fitness Melhor : 1000	
Geração : 40	Fitness : -188.56	Fitness Melhor : 1000	
Geração : 41	Fitness : -88.94	Fitness Melhor : 1000	
Geração : 42	Fitness : -26.22	Fitness Melhor : 1000	
Geração : 43	Fitness : -143.53	Fitness Melhor : 1000	
Geração : 44	Fitness : -251.92	Fitness Melhor : 1000	
Geração : 45	Fitness : -133.47	Fitness Melhor : 1000	
Geração : 46	Fitness : -28.75	Fitness Melhor : 1000	
Geração : 47	Fitness : -118.88	Fitness Melhor : 1000	
Geração : 48	Fitness : -58.97	Fitness Melhor : 1000	
Geração : 49	Fitness : -84.26	Fitness Melhor : 1000	
Geração : 50	Fitness : -113.64	Fitness Melhor : 1000	
Geração : 51	Fitness : -137.37	Fitness Melhor : 1000	
Geração : 52	Fitness : -67.69	Fitness Melhor : 1000	
Geração : 53	Fitness : -99.32	Fitness Melhor : 1000	
Geração : 54	Fitness : -97.38	Fitness Melhor : 1000	
Geração : 55	Fitness : -215.42	Fitness Melhor : 1000	
Geração : 56	Fitness : -146.76	Fitness Melhor : 1000	
Geração : 57	Fitness : -103.48	Fitness Melhor : 1000	
Geração : 58	Fitness : -68.77	Fitness Melhor : 1000	
Geração : 59	Fitness : -21.81	Fitness Melhor : 1000	
Geração : 60	Fitness : -151.57	Fitness Melhor : 1000	
Geração : 61	Fitness : -41.64	Fitness Melhor : 1000	
Geração : 62	Fitness : -146.15	Fitness Melhor : 1000	
Geração : 63	Fitness : -164.56	Fitness Melhor : 1000	
Geração : 64	Fitness : -68.24	Fitness Melhor : 1000	
Geração : 65	Fitness : -179.35	Fitness Melhor : 1000	
Geração : 66	Fitness : -143.15	Fitness Melhor : 1000	
Geração : 67	Fitness : -17.99	Fitness Melhor : 1000	
Geração : 68	Fitness : -86.23	Fitness Melhor : 1000	
Geração : 69	Fitness : -109.85	Fitness Melhor : 1000	
Geração : 70	Fitness : -58.83	Fitness Melhor : 1000	
Geração : 71	Fitness : 5.62	Fitness Melhor : 1000	
Geração : 72	Fitness : -27.64	Fitness Melhor : 1000	
Geração : 73	Fitness : -181.64	Fitness Melhor : 1000	
Geração : 74	Fitness : -41.76	Fitness Melhor : 1000	
Geração : 75	Fitness : -162.46	Fitness Melhor : 1000	
Geração : 76	Fitness : -178.97	Fitness Melhor : 1000	
Geração : 77	Fitness : -134.37	Fitness Melhor : 1000	
Geração : 78	Fitness : -212.47	Fitness Melhor : 1000	
Geração : 79	Fitness : -42.04	Fitness Melhor : 1000	
Geração : 80	Fitness : -21.3	Fitness Melhor : 1000	
Geração : 81	Fitness : -132.02	Fitness Melhor : 1000	
Geração : 82	Fitness : -68.89	Fitness Melhor : 1000	
Geração : 83	Fitness : -80.21	Fitness Melhor : 1000	
Geração : 84	Fitness : -29.95	Fitness Melhor : 1000	
Geração : 85	Fitness : -246.79	Fitness Melhor : 1000	
Geração : 86	Fitness : -126.45	Fitness Melhor : 1000	
Geração : 87	Fitness : -58.26	Fitness Melhor : 1000	
Geração : 88	Fitness : -131.94	Fitness Melhor : 1000	
Geração : 89	Fitness : -243.2	Fitness Melhor : 1000	
Geração : 90	Fitness : -88.57	Fitness Melhor : 1000	
Geração : 91	Fitness : -76.34	Fitness Melhor : 1000	
Geração : 92	Fitness : -57.34	Fitness Melhor : 1000	
Geração : 93	Fitness : -107.37	Fitness Melhor : 1000	
Geração : 94	Fitness : -99.47	Fitness Melhor : 1000	
Geração : 95	Fitness : -91.64	Fitness Melhor : 1000	
Geração : 96	Fitness : -132.02	Fitness Melhor : 1000	
Geração : 97	Fitness : -46.57	Fitness Melhor : 1000	
Geração : 98	Fitness : -88.82	Fitness Melhor : 1000	
Geração : 99	Fitness : -121.41	Fitness Melhor : 1000	
Geração : 100	Fitness : -129.15	Fitness Melhor : 1000	
Geração : 101	Fitness : -156.99	Fitness Melhor : 1000	
Geração : 102	Fitness : -136.67	Fitness Melhor : 1000	
Geração : 103	Fitness : -199.78	Fitness Melhor : 1000	
Geração : 104	Fitness : -87.86	Fitness Melhor : 1000	
Geração : 105	Fitness : -77.96	Fitness Melhor : 1000	
Geração : 106	Fitness : -181.28	Fitness Melhor : 1000	
Geração : 107	Fitness : -199.3	Fitness Melhor : 1000	
Geração : 108	Fitness : -17.82	Fitness Melhor : 1000	
Geração : 109	Fitness : -143.36	Fitness Melhor : 1000	
Geração : 110	Fitness : -120.92	Fitness Melhor : 1000	
Geração : 111	Fitness : -137.9	Fitness Melhor : 1000	
Geração : 112	Fitness : -52.25	Fitness Melhor : 1000	
Geração : 113	Fitness : -88.3	Fitness Melhor : 1000	
Geração : 114	Fitness : -159.08	Fitness Melhor : 1000	
Geração : 115	Fitness : -80.82	Fitness Melhor : 1000	
Geração : 116	Fitness : -165.51	Fitness Melhor : 1000	
Geração : 117	Fitness : -110.65	Fitness Melhor : 1000	
Geração : 118	Fitness : -68.7	Fitness Melhor : 1000	
Geração : 119	Fitness : -42.12	Fitness Melhor : 1000	
Geração : 120	Fitness : -204.94	Fitness Melhor : 1000	
Geração : 121	Fitness : -140.05	Fitness Melhor : 1000	
Geração : 122	Fitness : -78.25	Fitness Melhor : 1000	
Geração : 123	Fitness : -139.76	Fitness Melhor : 1000	
Geração : 124	Fitness : -173.25	Fitness Melhor : 1000	
Geração : 125	Fitness : -264.16	Fitness Melhor : 1000	
Geração : 126	Fitness : -205.02	Fitness Melhor : 1000	
Geração : 127	Fitness : -103.55	Fitness Melhor : 1000	
Geração : 128	Fitness : -88.75	Fitness Melhor : 1000	
Geração : 129	Fitness : -110.61	Fitness Melhor : 1000	
Geração : 130	Fitness : -305.42	Fitness Melhor : 1000	
Geração : 131	Fitness : 29.81	Fitness Melhor : 1000	
Geração : 132	Fitness : -62.3	Fitness Melhor : 1000	
Geração : 133	Fitness : -139.02	Fitness Melhor : 1000	
Geração : 134	Fitness : -141.29	Fitness Melhor : 1000	
Geração : 135	Fitness : -259.67	Fitness Melhor : 1000	
Geração : 136	Fitness : -44.23	Fitness Melhor : 1000	
Geração : 137	Fitness : -31.36	Fitness Melhor : 1000	
Geração : 138	Fitness : -26.83	Fitness Melhor : 1000	
Geração : 139	Fitness : -150.77	Fitness Melhor : 1000	
Geração : 140	Fitness : -74.53	Fitness Melhor : 1000	
Geração : 141	Fitness : -292.38	Fitness Melhor : 1000	
Geração : 142	Fitness : -158.62	Fitness Melhor : 1000	
Geração : 143	Fitness : -125.42	Fitness Melhor : 1000	
Geração : 144	Fitness : -47.61	Fitness Melhor : 1000	
Geração : 145	Fitness : -136.76	Fitness Melhor : 1000	
Geração : 146	Fitness : -39.52	Fitness Melhor : 1000	
Geração : 147	Fitness : -110.45	Fitness Melhor : 1000	
Geração : 148	Fitness : -185.96	Fitness Melhor : 1000	
Geração : 149	Fitness : -67.38	Fitness Melhor : 1000	
Geração : 150	Fitness : -116.17	Fitness Melhor : 1000	
Geração : 151	Fitness : -127.14	Fitness Melhor : 1000	
Geração : 152	Fitness : -108.35	Fitness Melhor : 1000	
Geração : 153	Fitness : -118.16	Fitness Melhor : 1000	
Geração : 154	Fitness : -18.04	Fitness Melhor : 1000	
Geração : 155	Fitness : -29.66	Fitness Melhor : 1000	
Geração : 156	Fitness : -88.98	Fitness Melhor : 1000	
Geração : 157	Fitness : -120.16	Fitness Melhor : 1000	
Geração : 158	Fitness : -133.45	Fitness Melhor : 1000	
Geração : 159	Fitness : -140.37	Fitness Melhor : 1000	
Geração : 160	Fitness : -134.53	Fitness Melhor : 1000	
Geração : 161	Fitness : -132.36	Fitness Melhor : 1000	
Geração : 162	Fitness : -168.82	Fitness Melhor : 1000	
Geração : 163	Fitness : -93.64	Fitness Melhor : 1000	
Geração : 164	Fitness : -61.35	Fitness Melhor : 1000	
Geração : 165	Fitness : -189.59	Fitness Melhor : 1000	
Geração : 166	Fitness : -106.78	Fitness Melhor : 1000	
Geração : 167	Fitness : -154.19	Fitness Melhor : 1000	
Geração : 168	Fitness : 34.0	Fitness Melhor : 1000	
Geração : 169	Fitness : -161.25	Fitness Melhor : 1000	
Geração : 170	Fitness : -270.38	Fitness Melhor : 1000	
Geração : 171	Fitness : -236.96	Fitness Melhor : 1000	
Geração : 172	Fitness : -72.71	Fitness Melhor : 1000	
Geração : 173	Fitness : -93.36	Fitness Melhor : 1000	
Geração : 174	Fitness : -106.25	Fitness Melhor : 1000	
Geração : 175	Fitness : -105.4	Fitness Melhor : 1000	
Geração : 176	Fitness : -30.7	Fitness Melhor : 1000	
Geração : 177	Fitness : -148.08	Fitness Melhor : 1000	
Geração : 178	Fitness : -111.16	Fitness Melhor : 1000	
Geração : 179	Fitness : -233.69	Fitness Melhor : 1000	
Geração : 180	Fitness : -149.86	Fitness Melhor : 1000	
Geração : 181	Fitness : -23.32	Fitness Melhor : 1000	
Geração : 182	Fitness : -193.25	Fitness Melhor : 1000	
Geração : 183	Fitness : -107.99	Fitness Melhor : 1000	
Geração : 184	Fitness : -124.67	Fitness Melhor : 1000	
Geração : 185	Fitness : -128.36	Fitness Melhor : 1000	
Geração : 186	Fitness : -15.32	Fitness Melhor : 1000	
Geração : 187	Fitness : -215.06	Fitness Melhor : 1000	
Geração : 188	Fitness : -151.84	Fitness Melhor : 1000	
Geração : 189	Fitness : -106.89	Fitness Melhor : 1000	
Geração : 190	Fitness : -58.66	Fitness Melhor : 1000	
Geração : 191	Fitness : -191.84	Fitness Melhor : 1000	
Geração : 192	Fitness : -93.61	Fitness Melhor : 1000	
Geração : 193	Fitness : -43.57	Fitness Melhor : 1000	
Geração : 194	Fitness : -151.64	Fitness Melhor : 1000	
Geração : 195	Fitness : -101.74	Fitness Melhor : 1000	
Geração : 196	Fitness : -90.31	Fitness Melhor : 1000	
Geração : 197	Fitness : -168.46	Fitness Melhor : 1000	
Geração : 198	Fitness : -26.54	Fitness Melhor : 1000	
Geração : 199	Fitness : -128.59	Fitness Melhor : 1000	
Geração : 200	Fitness : -167.9	Fitness Melhor : 1000	
Geração : 201	Fitness : -50.07	Fitness Melhor : 1000	
Geração : 202	Fitness : -93.84	Fitness Melhor : 1000	
Geração : 203	Fitness : 5.54	Fitness Melhor : 1000	
Geração : 204	Fitness : -125.31	Fitness Melhor : 1000	
Geração : 205	Fitness : -45.86	Fitness Melhor : 1000	
Geração : 206	Fitness : -137.84	Fitness Melhor : 1000	
Geração : 207	Fitness : -122.29	Fitness Melhor : 1000	
Geração : 208	Fitness : -108.72	Fitness Melhor : 1000	
Geração : 209	Fitness : -216.98	Fitness Melhor : 1000	
Geração : 210	Fitness : -162.21	Fitness Melhor : 1000	
Geração : 211	Fitness : -110.38	Fitness Melhor : 1000	
Geração : 212	Fitness : -3.41	Fitness Melhor : 1000	
Geração : 213	Fitness : -37.69	Fitness Melhor : 1000	
Geração : 214	Fitness : -61.34	Fitness Melhor : 1000	
Geração : 215	Fitness : -78.54	Fitness Melhor : 1000	
Geração : 216	Fitness : -84.94	Fitness Melhor : 1000	
Geração : 217	Fitness : -116.54	Fitness Melhor : 1000	
Geração : 218	Fitness : -81.54	Fitness Melhor : 1000	
Geração : 219	Fitness : -289.03	Fitness Melhor : 1000	
Geração : 220	Fitness : -175.45	Fitness Melhor : 1000	
Geração : 221	Fitness : -119.8	Fitness Melhor : 1000	
Geração : 222	Fitness : 18.69	Fitness Melhor : 1000	
Geração : 223	Fitness : -64.92	Fitness Melhor : 1000	
Geração : 224	Fitness : -43.96	Fitness Melhor : 1000	
Geração : 225	Fitness : -245.75	Fitness Melhor : 1000	
Geração : 226	Fitness : -111.35	Fitness Melhor : 1000	
Geração : 227	Fitness : -104.94	Fitness Melhor : 1000	
Geração : 228	Fitness : -5.7	Fitness Melhor : 1000	
Geração : 229	Fitness : -181.42	Fitness Melhor : 1000	
Geração : 230	Fitness : -48.51	Fitness Melhor : 1000	
Geração : 231	Fitness : -55.86	Fitness Melhor : 1000	
Geração : 232	Fitness : -96.5	Fitness Melhor : 1000	
Geração : 233	Fitness : -194.3	Fitness Melhor : 1000	
Geração : 234	Fitness : -1.26	Fitness Melhor : 1000	
Geração : 235	Fitness : -97.47	Fitness Melhor : 1000	
Geração : 236	Fitness : -134.71	Fitness Melhor : 1000	
Geração : 237	Fitness : -19.99	Fitness Melhor : 1000	
Geração : 238	Fitness : -138.62	Fitness Melhor : 1000	
Geração : 239	Fitness : -87.19	Fitness Melhor : 1000	
Geração : 240	Fitness : -29.44	Fitness Melhor : 1000	
Geração : 241	Fitness : -86.83	Fitness Melhor : 1000	
Geração : 242	Fitness : -84.23	Fitness Melhor : 1000	
Geração : 243	Fitness : -22.58	Fitness Melhor : 1000	
Geração : 244	Fitness : -118.49	Fitness Melhor : 1000	
Geração : 245	Fitness : -75.39	Fitness Melhor : 1000	
Geração : 246	Fitness : 17.86	Fitness Melhor : 1000	
Geração : 247	Fitness : -3.7	Fitness Melhor : 1000	
Geração : 248	Fitness : -13.41	Fitness Melhor : 1000	
Geração : 249	Fitness : -45.95	Fitness Melhor : 1000	
Geração : 250	Fitness : -70.92	Fitness Melhor : 1000	
Geração : 251	Fitness : -90.28	Fitness Melhor : 1000	
Geração : 252	Fitness : -164.37	Fitness Melhor : 1000	
Geração : 253	Fitness : -72.89	Fitness Melhor : 1000	
Geração : 254	Fitness : -28.93	Fitness Melhor : 1000	
Geração : 255	Fitness : -55.16	Fitness Melhor : 1000	
Geração : 256	Fitness : -7.64	Fitness Melhor : 1000	
Geração : 257	Fitness : -189.91	Fitness Melhor : 1000	
Geração : 258	Fitness : -152.03	Fitness Melhor : 1000	
Geração : 259	Fitness : -200.96	Fitness Melhor : 1000	
Geração : 260	Fitness : -189.33	Fitness Melhor : 1000	
Geração : 261	Fitness : -30.69	Fitness Melhor : 1000	
Geração : 262	Fitness : -107.98	Fitness Melhor : 1000	
Geração : 263	Fitness : -121.08	Fitness Melhor : 1000	
Geração : 264	Fitness : -108.68	Fitness Melhor : 1000	
Geração : 265	Fitness : -194.12	Fitness Melhor : 1000	
Geração : 266	Fitness : -28.08	Fitness Melhor : 1000	
Geração : 267	Fitness : -117.72	Fitness Melhor : 1000	
Geração : 268	Fitness : -181.23	Fitness Melhor : 1000	
Geração : 269	Fitness : -163.38	Fitness Melhor : 1000	
Geração : 270	Fitness : -77.01	Fitness Melhor : 1000	
Geração : 271	Fitness : -153.11	Fitness Melhor : 1000	
Geração : 272	Fitness : -139.47	Fitness Melhor : 1000	
Geração : 273	Fitness : -142.44	Fitness Melhor : 1000	
Geração : 274	Fitness : -55.77	Fitness Melhor : 1000	
Geração : 275	Fitness : -88.62	Fitness Melhor : 1000	
Geração : 276	Fitness : -50.05	Fitness Melhor : 1000	
Geração : 277	Fitness : -127.11	Fitness Melhor : 1000	
Geração : 278	Fitness : -7.54	Fitness Melhor : 1000	
Geração : 279	Fitness : -97.56	Fitness Melhor : 1000	
Geração : 280	Fitness : -117.61	Fitness Melhor : 1000	
Geração : 281	Fitness : -70.83	Fitness Melhor : 1000	
Geração : 282	Fitness : -181.33	Fitness Melhor : 1000	
Geração : 283	Fitness : -10.26	Fitness Melhor : 1000	
Geração : 284	Fitness : -86.36	Fitness Melhor : 1000	
Geração : 285	Fitness : -167.1	Fitness Melhor : 1000	
Geração : 286	Fitness : -131.81	Fitness Melhor : 1000	
Geração : 287	Fitness : -152.81	Fitness Melhor : 1000	
Geração : 288	Fitness : -153.85	Fitness Melhor : 1000	
Geração : 289	Fitness : -69.29	Fitness Melhor : 1000	
Geração : 290	Fitness : -193.85	Fitness Melhor : 1000	
Geração : 291	Fitness : -22.49	Fitness Melhor : 1000	
Geração : 292	Fitness : -78.63	Fitness Melhor : 1000	
Geração : 293	Fitness : -95.97	Fitness Melhor : 1000	
Geração : 294	Fitness : -261.07	Fitness Melhor : 1000	
Geração : 295	Fitness : -175.5	Fitness Melhor : 1000	
Geração : 296	Fitness : -128.76	Fitness Melhor : 1000	
Geração : 297	Fitness : -108.35	Fitness Melhor : 1000	
Geração : 298	Fitness : -105.29	Fitness Melhor : 1000	
Geração : 299	Fitness : -94.82	Fitness Melhor : 1000	
