Labirinto 4
###############
#I-----------F#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
#-------------#
###############

Solução Labirinto 4
############### 
#Io-------oooo# 
#-oooooooooooo# 
#---oooo-----o# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
#-------------# 
###############



Geração : 0	Fitness : -157.21	Fitness Melhor : 0	
Geração : 1	Fitness : -173.55	Fitness Melhor : -10	
Geração : 2	Fitness : -81.66	Fitness Melhor : -9	
Geração : 3	Fitness : -60.31	Fitness Melhor : -8	
Geração : 4	Fitness : -69.2	Fitness Melhor : -7	
Geração : 5	Fitness : -197.74	Fitness Melhor : -7	
Geração : 6	Fitness : -129.02	Fitness Melhor : -7	
Geração : 7	Fitness : -131.39	Fitness Melhor : -7	
Geração : 8	Fitness : -121.52	Fitness Melhor : -7	
Geração : 9	Fitness : -192.35	Fitness Melhor : -7	
Geração : 10	Fitness : -102.36	Fitness Melhor : -7	
Geração : 11	Fitness : -265.33	Fitness Melhor : -7	
Geração : 12	Fitness : -172.51	Fitness Melhor : -7	
Geração : 13	Fitness : -311.02	Fitness Melhor : -7	
Geração : 14	Fitness : -160.39	Fitness Melhor : -7	
Geração : 15	Fitness : -104.56	Fitness Melhor : -7	
Geração : 16	Fitness : -129.97	Fitness Melhor : -7	
Geração : 17	Fitness : -173.34	Fitness Melhor : -7	
Geração : 18	Fitness : -163.97	Fitness Melhor : -7	
Geração : 19	Fitness : -208.06	Fitness Melhor : -7	
Geração : 20	Fitness : -281.12	Fitness Melhor : -7	
Geração : 21	Fitness : -109.31	Fitness Melhor : -7	
Geração : 22	Fitness : -183.62	Fitness Melhor : -7	
Geração : 23	Fitness : -274.53	Fitness Melhor : -7	
Geração : 24	Fitness : -69.14	Fitness Melhor : -7	
Geração : 25	Fitness : -170.68	Fitness Melhor : -7	
Geração : 26	Fitness : -236.93	Fitness Melhor : -7	
Geração : 27	Fitness : -99.44	Fitness Melhor : -7	
Geração : 28	Fitness : -140.29	Fitness Melhor : -7	
Geração : 29	Fitness : -206.1	Fitness Melhor : -7	
Geração : 30	Fitness : -66.83	Fitness Melhor : -7	
Geração : 31	Fitness : -162.26	Fitness Melhor : -7	
